Job Title,Company Name,AI Category,Sector,Skills Mentioned,Job Description,Date Posted,Location,Source Website,Link to Job Post,Keyword
Senior DataOps Engineer,Scripta Insights,Data Science,Healthcare,"Developer, DataOps, Python, AWS, Automation, Java, Tableau, Redis","Scripta Insightsscriptainsights.com👀 1,375 views✅ 60 applied
																																								(4%)Share this job:Get arok.coshort linkThis job post is closed and the position is probably filled. Please do not apply. Work for Scripta Insights and want to re-open this job? Use the edit link in the email when you posted the job!Senior DataOps EngineerAbout this opening● We are only considering people in GMT+2 to GMT-8 for this role● Your workday must overlap of at least 50% with Eastern Standard Time business hours● We are not using recruiters for this roleCompany OverviewScripta is a venture-backed SaaS health-tech analytics company with offices in Boston, New York City and Savannah. We combine medicine, business, and technology. Doctor-driven at heart, we are dedicated to helping individuals find affordable medicine. Scripta was founded by clinicians and continues to be guided by the insights from a board of leading doctors and pharmacists.We use technology to empower and educate",2025-08-22,Remote,RemoteOK,https://remoteok.com/remote-jobs/remote-senior-dataops-engineer-scripta-insights-879958,big-data
Senior Full Stack Software Engineer,AgSquared,Data Science,Education,"Engineer, Senior, Developer, Mobile, DevOps, PHP, SQL, Web Developer, NoSQL, Ember, Symfony, DataOps, Agriculture, Farming, Farm, SQL, JavaScript, React, Linux","AgSquaredagsquared.com👀 12,727 views✅ 423 applied
																																								(3%)Share this job:Get arok.coshort linkThis job post is closed and the position is probably filled. Please do not apply. Work for AgSquared and want to re-open this job? Use the edit link in the email when you posted the job!About the job:Come help us lay the foundation for the future of agriculture! We are a team of innovators who have been at the forefront of empowering farms to use their data to become more productive and more sustainable for nearly 15 years. At AgSquared you will have the unique opportunity to help build a suite of products that is truly impactful on a global scale, while working with a fantastic team of talented, down-to-earth people who love their work and love working together.What we do:At AgSquared, our mission is to help farms become more sustainable and adopt a greater level of transparency without sacrificing the productivity and profitability that allows them to stay",2025-08-22,Remote,RemoteOK,https://remoteok.com/remote-jobs/remote-senior-full-stack-software-engineer-agsquared-146187,big-data
Senior Software Developer,crate.io,Data Science,Finance,"Java, Senior, Developer, Financial, Amazon, Cloud, NoSQL, Python, Engineer, Full-Time, Python, SQL, Azure, Big Data, Hadoop, Java, Hadoop","crate.iocrate.ioApply now👀 5,361 views✅ 241 applied
																																								(4%)Share this job:Get arok.coshort linkcrate.io is hiring aRemote Senior Software DeveloperLocation: Remote (CET timezone preferred). Offices in Berlin, Vienna and Dornbirn\n\nPosition: Full-time employment\n\n**ABOUT CRATE.IO**\n\nCrate.io is the developer of CrateDB, a global leading-edge IoT database, extending the limits of time-series applications. The highly scalable distributed database solution combines the performance of NoSQL with the power and simplicity of standard SQL. Designed specifically to support machine data applications and IIoT, CrateDB is optimized for time series and industrial data and runs in the cloud on Azure and Amazon as well as on the edge and on-premise.\nWe are a VC and corporate funded global technology company in the IOT space, both Forbes and Gartner have recognized us as cutting edge. The company is well funded with $10M+ of fresh capital we raised in our lat",2025-08-22,Remote,RemoteOK,https://remoteok.com/remote-jobs/105109-remote-senior-software-developer-crate-io,big-data
"Senior Software Engineer Big Data (Los Angeles, CA)",HG Insights,Data Science,Healthcare,"Senior, Engineer, Developer, DevOps, English, Financial, Amazon, Java, Scala, Leader, Lead, Go, Engineering, Backend, Automation, Data Science, Big Data, Hadoop, Spark, Kubernetes, Docker, Java, Spark, Hadoop","This job post is closed and the position is probably filled. Please do not apply. Work for HG Insights and want to re-open this job? Use the edit link in the email when you posted the job!
																							🤖 Closed by robot after apply link errored w/ code 404 3 years ago\nAbout Us: \n\nHeadquartered in beautiful Santa Barbara, HG Insights is the global leader in technology intelligence. HG Insights uses advanced data science methodologies to help the world’s largest technology firms and the fastest growing companies accelerate their sales, marketing, and strategy efforts. \n\nWe offer a competitive salary, growth potential, and a casual yet professional environment. Get your sweat on at one of our fitness classes or go for a run along the beach which is two blocks away. You can find employees riding bikes to lunch in the funk zone or hanging out in one of our collaboration spaces. We are passionate about our jobs with a get-it-done attitude, yet we don’t take ourselves too serio",2025-08-22,💰 $68k - $120k*,RemoteOK,https://remoteok.com/remote-jobs/104393-remote-senior-software-engineer-big-data-hg-insights,big-data
Software Engineer Distributed Systems Big Data 100,Nira,Data Science,Healthcare,"Engineer, Developer, API, Engineering, Python, AWS, Kubernetes, Docker, Kafka","Nira👀 2,212 views✅ 144 applied
																																								(7%)Share this job:Get arok.coshort linkThis job post is closed and the position is probably filled. Please do not apply. Work for Nira and want to re-open this job? Use the edit link in the email when you posted the job!
																							🤖 Closed by robot after apply link errored w/ code 404 3 years ago\nWhat You’ll Do\n\n\n* Architecture design, API design, data modeling.\n\n* Stream data processing and distributed systems.\n\n* Code standards, code reviews, technical planning/research, testing/QA.\n\n* Investigate and resolve bugs/customer issues.\n\n* Assist in scoping, estimating, and planning of projects.\n\n\n\n\nWho We’re Looking For\n\n\n* You’ve got 5 years of experience with: AWS, Docker, Kubernetes, Elasticsearch, Go, gRPC/Protobuf, Kafka, Microservices, MongoDB, Python\n\n* You have high accountability and ownership of your work.\n\n* You have a bias towards action. You love to move fast, are self",2025-08-22,💰 $65k - $125k*,RemoteOK,https://remoteok.com/remote-jobs/104312-remote-software-engineer-distributed-systems-big-data-100-nira,big-data
Senior Data Engineer,Shopify,Data Science,Marketing & Media,"JavaScript, React, Cloud, Ruby, Senior, Engineer, Apache, Security, Mathematics, Analytics, Sales, Reliability, Engineering, Shopify, Full-Stack, SQL, Machine Learning, ML, Big Data, Spark, Kubernetes, React, MLflow, NumPy, Spark","Shopifyshopify.com👀 4,063 views✅ 245 applied
																																								(6%)Share this job:Get arok.coshort linkAlso hiring:Staff Software DeveloperStaff Software Developer Data PlatformSenior Staff Software EngineerSenior Data ScientistStaff Data ScientistThis job post is closed and the position is probably filled. Please do not apply. Work for Shopify and want to re-open this job? Use the edit link in the email when you posted the job!**Company Description**\n\nShopify is the leading omni-channel commerce platform. Merchants use Shopify to design, set up, and manage their stores across multiple sales channels, including mobile, web, social media, marketplaces, brick-and-mortar locations, and pop-up shops. The platform also provides merchants with a powerful back-office and a single view of their business, from payments to shipping. The Shopify platform was engineered for reliability and scale, making enterprise-level technology available to businesses of all sizes. \n\n*",2025-08-22,🇨🇦 Canada,RemoteOK,https://remoteok.com/remote-jobs/103451-remote-senior-data-engineer-shopify,big-data
Staff Data Scientist,Shopify,Data Science,Education,"Python, Data Science, Executive, Shopify, Python, Machine Learning, Data Science, Spark, Tableau, Matplotlib, Spark","Shopifyshopify.comApply now👀 6,356 views✅ 289 applied
																																								(5%)Share this job:Get arok.coshort linkAlso hiring:Staff Software DeveloperStaff Software Developer Data PlatformSenior Staff Software EngineerSenior Data ScientistSenior Software Engineer AmericasShopify is hiring aRemote Staff Data Scientist**Company Description**\n\nData is a crucial part of Shopify’s mission to make commerce better for everyone. We organize and interpret petabytes of data to provide solutions for our merchants and stakeholders across the organization. From pipelines and schema design to machine learning products and decision support, data science at Shopify is a diverse role with many opportunities to positively impact our success.\nOur Data Scientists focus on pushing products and the business forward, with a focus on solving important problems rather than specific tools. We are looking for talented data scientists to help us better understand our merchants and buyers so",2025-08-22,🇨🇦 Canada,RemoteOK,https://remoteok.com/remote-jobs/103485-remote-staff-data-scientist-shopify,big-data
Senior Data Scientist,Shopify,Data Science,Finance,"Amazon, Python, Microsoft, Machine Learning, Artificial Intelligence, AI, Deep Learning, Neural Networks, Data Science, Senior, Web Developer, Marketing, Engineering, Shopify, Non Tech, Python, SQL, Machine Learning, Data Science","Shopifyshopify.comApply now👀 7,006 views✅ 299 applied
																																								(4%)Share this job:Get arok.coshort linkAlso hiring:Staff Software DeveloperStaff Software Developer Data PlatformSenior Staff Software EngineerStaff Data ScientistSenior Software Engineer AmericasShopify is hiring aRemote Senior Data Scientist**Company Description**\n\nShopify is now permanently remote and working towards a future that is digital by default. Learn more about what this can mean for you.\n\nAt Shopify, we build products that help entrepreneurs around the world start and grow their business. We’re the world’s fastest growing commerce platform with over 1 million merchants in more than 175 different countries, with solutions from point-of-sale and online commerce to financial, shipping logistics and marketing.\n\n**Job Description**\n\nData is a crucial part of Shopify’s mission to make commerce better for everyone. We organize and interpret petabytes of data to provide solutions",2025-08-22,🇺🇸 United States,RemoteOK,https://remoteok.com/remote-jobs/103484-remote-senior-data-scientist-shopify,big-data
Staff Data Scientist,Shopify,Data Science,Education,"Python, Data Science, Ecommerce, Executive, Shopify, Python, Machine Learning, Data Science, Spark, Tableau, Matplotlib, Spark","Shopifyshopify.com👀 6,400 views✅ 444 applied
																																								(7%)Share this job:Get arok.coshort linkAlso hiring:Staff Software DeveloperStaff Software Developer Data PlatformSenior Staff Software EngineerSenior Data ScientistStaff Data ScientistThis job post is closed and the position is probably filled. Please do not apply. Work for Shopify and want to re-open this job? Use the edit link in the email when you posted the job!**Company Description**\n\nData is a crucial part of Shopify’s mission to make commerce better for everyone. We organize and interpret petabytes of data to provide solutions for our merchants and stakeholders across the organization. From pipelines and schema design to machine learning products and decision support, data science at Shopify is a diverse role with many opportunities to positively impact our success.\nOur Data Scientists focus on pushing products and the business forward, with a focus on solving important problems rather than ",2025-08-22,🇺🇸 United States,RemoteOK,https://remoteok.com/remote-jobs/102861-remote-staff-data-scientist-shopify,big-data
Java Python Golang Backend Engineer Big Data Data Greenfield Partners,very large,Data Science,Healthcare,"Java, Python, Golang, Engineer, Backend, NoSQL, Operations, Operational, Engineering, Linux, Python, Automation, Big Data, Java, Linux","very large👀 4,033 views✅ 150 applied
																																								(4%)Share this job:Get arok.coshort linkThis job post is closed and the position is probably filled. Please do not apply. Work for very large and want to re-open this job? Use the edit link in the email when you posted the job!
																							🤖 Closed by robot after apply link errored w/ code 404 3 years ago\nNEEDED FOR THIS ROLE\n\n\n* JAVA, PYTHON, Golang (intermediate+ to Expert -preferred) in one or more\n\n* NoSQL DB (Cassandra, etc or time series non structured DB experience)\n\n* Big Data and Data at very large scale\n\n* Experienced battle-hardened SW engineer (large distributed systems, large scale)\n\n\n\n\nThis is NOT an SRE role! \n\nThis is a software engineering role that will work on a team that provides ALL monitoring and will be responsible for developing custom stack for data integration retrieval. The team monitors time series data ingest in upwards of 1.5M+ records a min. \n\nMUST H",2025-08-22,💰 $70k - $120k*,RemoteOK,https://remoteok.com/remote-jobs/102561-remote-java-python-golang-backend-engineer-big-data-data-greenfield-partners-very-large,big-data
"Data Infrastructure Engineer Big Data Functional Programming Drug Discovery (San Diego, CA)",Empirico,Data Science,Healthcare,"Engineer, Scala, System, Engineering, Spark, Spark","Empirico👀 2,000 views✅ 174 applied
																																								(9%)Share this job:Get arok.coshort linkThis job post is closed and the position is probably filled. Please do not apply. Work for Empirico and want to re-open this job? Use the edit link in the email when you posted the job!
																							🤖 Closed by robot after apply link errored w/ code 404 3 years ago\nEmpirico, an early-stage biotechnology company, is looking for a talented software engineer that is motivated by the opportunity to build scalable data systems that power the discovery of new medicines. You will work closely with a team of engineers and computational scientists to build and extend Empirico’s data infrastructure, which include modern cloud-based systems and services that operate on some of the largest biological datasets in the world.\n\nResponsibilities:\n\nYour responsibilities will focus around designing and implementing robust and extensible data systems. You will be expected to:\n",2025-08-22,💰 $85k - $130k*,RemoteOK,https://remoteok.com/remote-jobs/102069-remote-data-infrastructure-engineer-big-data-functional-programming-drug-discovery-empirico,big-data
Senior Data Engineer,Clevertech,Data Science,Finance,"Senior, Engineer, Executive, English, Financial, Cloud, Go, React","Clevertechclevertech.biz👀 5,627 views✅ 641 applied
																																								(11%)Share this job:Get arok.coshort linkAlso hiring:Sr React Engineer Redux SagaSr Video Infrastructure Engineer Audio ExpertThis job post is closed and the position is probably filled. Please do not apply. Work for Clevertech and want to re-open this job? Use the edit link in the email when you posted the job!**Working at Clevertech**\n\nPeople do their best work when they’re cared for and in the right environment:\n* RemoteNative™: Pioneers in the industry, we are committed to remote work.\n* Flexibility: Wherever your are, and wherever you want to go. We embrace the freedom gained through trust and professionalism.\n* Team: Be part of an amazing team of senior engineers that you can rely on.\n* Growth: Become a master in the art of remote work and effective communication.\n* Compensation: Best in class compensation for remote workers plus the swag you want.\n* Cutting Edge: Stay sharp in your",2025-08-22,🇺🇸 United States,RemoteOK,https://remoteok.com/remote-jobs/100063-remote-senior-data-engineer-clevertech,big-data
Senior Data Engineer Spark,Clevertech,Data Science,Finance,"Senior, Engineer, Apache, Hadoop, English, Financial, Go, Spark, React, Spark","Clevertechclevertech.biz👀 25,824 views✅ 711 applied
																																								(3%)Share this job:Get arok.coshort linkAlso hiring:Sr React Engineer Redux SagaSr Video Infrastructure Engineer Audio ExpertThis job post is closed and the position is probably filled. Please do not apply. Work for Clevertech and want to re-open this job? Use the edit link in the email when you posted the job!**Working at Clevertech**\n\nPeople do their best work when they’re cared for and in the right environment:\n* RemoteNative™: Pioneers in the industry, we are committed to remote work.\n* Flexibility: Wherever your are, and wherever you want to go. We embrace the freedom gained through trust and professionalism.\n* Team: Be part of an amazing team of senior engineers that you can rely on.\n* Growth: Become a master in the art of remote work and effective communication.\n* Compensation: Best in class compensation for remote workers plus the swag you want.\n* Cutting Edge: Stay sharp in your",2025-08-22,🇺🇸 United States,RemoteOK,https://remoteok.com/remote-jobs/100061-remote-senior-data-engineer-spark-clevertech,big-data
