Job Title,Company Name,AI Category,Sector,Skills Mentioned,Job Description,Date Posted,Location,Source Website,Link to Job Post,Keyword
Senior Data Engineer,Alqen,Data Science,Technology & Software,"Backend, Engineer, Developer, DataOps, Databases, Data Processing, Data Structures, Database Admin, SQL, AWS, GCP, Azure, Spark, Git, Airflow, Spark","AlqenApply now👀 18,400 views✅ 1,683 applied
																																								(9%)Share this job:Get arok.coshort linkAlqen is hiring aRemote Senior Data EngineerAbout Us:We're a bootstrapped startup on a mission to help Walmart and Amazon sellers at all levels, from retail arbitrage to wholesale to private label, find profitable products. Our goal is to offer tools that reduce the time and effort needed for product and market research. While we're not the first in the space, we're striving to be the best by providing actionable insights and innovative solutions.Position:Senior Data Engineer / Analytics Engineer (Part-time or Full-time)Hours:No Set Schedule (You Manage Your Time)What We Need from You:A self-starter with strong analytical and problem-solving skills, with the ability to extract insights and patterns from complex data.Good command of English, both written and spoken.Ability to work remotely with no minimal supervisionMeticulous attention to detail and a passion for ",2025-08-22,Remote,RemoteOK,https://remoteok.com/remote-jobs/remote-senior-data-engineer-alqen-664520,data-science
Principal Software Engineer Data Scientist,Cardlytics,Data Science,Healthcare,"Golang, Engineer, Developer, Data Science","Cardlytics is hiring aRemote Principal Software Engineer Data ScientistAtlanta, GA, United States - At Cardlytics (NASDAQ: CDLX), we created an industry…. but we are just getting started. From idea inception at a kitchen table in Atlanta to now publicly traded on NASDAQ with offices around the world, we are proud of the work we’ve accomplished and are looking for ...																																																										\n\n#Salary and compensation\n
																											No salary data published by company so we estimated salary based on similar jobs related to Data Science, Golang, Engineer, Developer and Digital Nomad jobs that are similar:\n\n
																																								 $60,000 — $125,000/year\n\n\n#Benefits\n
													💰 401(k)\n\n🌎 Distributed team\n\n⏰ Async\n\n🤓 Vision insurance\n\n🦷 Dental insurance\n\n🚑 Medical insurance\n\n🏖 Unlimited vacation\n\n🏖 Paid time off\n\n📆 4 day workweek\n\n💰 401k matching\n\n🏔 Company retreats\n\n🏬 Coworking budget\n\n📚 L",2025-08-22,💰 $60k - $125k*,RemoteOK,https://remoteok.com/remote-jobs/109456-remote-principal-software-engineer-data-scientist-cardlytics,data-science
Principal Software Engineer Applied Science Data Science,Cardlytics,Data Science,Healthcare,"Golang, Engineer, Developer, Data Science","Cardlytics is hiring aRemote Principal Software Engineer Applied Science Data ScienceAtlanta, GA, United States - At Cardlytics (NASDAQ: CDLX), we created an industry…. but we are just getting started. From idea inception at a kitchen table in Atlanta to now publicly traded on NASDAQ with offices around the world, we are proud of the work we’ve accomplished and are looking for ...																																																										\n\n#Salary and compensation\n
																											No salary data published by company so we estimated salary based on similar jobs related to Data Science, Golang, Engineer, Developer and Digital Nomad jobs that are similar:\n\n
																																								 $60,000 — $125,000/year\n\n\n#Benefits\n
													💰 401(k)\n\n🌎 Distributed team\n\n⏰ Async\n\n🤓 Vision insurance\n\n🦷 Dental insurance\n\n🚑 Medical insurance\n\n🏖 Unlimited vacation\n\n🏖 Paid time off\n\n📆 4 day workweek\n\n💰 401k matching\n\n🏔 Company retreats\n\n🏬 Coworking",2025-08-22,💰 $60k - $125k*,RemoteOK,https://remoteok.com/remote-jobs/109197-remote-principal-software-engineer-applied-science-data-science-cardlytics,data-science
Marketing Data Scientist,Recast,Data Science,Marketing & Media,"Marketing, Customer Support, Non Tech, Full-Time, Data Science","Recastgetrecast.comApply now👀 13,015 views✅ 1,028 applied
																																								(8%)Share this job:Get arok.coshort linkRecast is hiring aRemote Marketing Data ScientistAt [Recast](https://getrecast.com/), we're building the next generation of media measurement technology. We're scientists and engineers applying cutting-edge techniques to the hardest problems in a multi-hundred-billion dollar market. Every year, billions of dollars are wasted on ineffective and unmeasurable marketing campaigns — Recast helps marketers measure the unmeasurable and save millions of dollars of marketing budget.\n\nWe're hiring a marketing data scientist to work directly with clients and help us build the future of media measurement.\n\n**What you'll do in your first 6 months:**\n\n- Onboard new clients onto Recast's platform and work hand-in-hand with them to set priors, interpret their results, and plan experiments to validate the model.\n- Implement complex statistical analyses of mark",2025-08-22,🇺🇸 United States,RemoteOK,https://remoteok.com/remote-jobs/107901-remote-marketing-data-scientist-recast,data-science
Machine learning engineer for large scale ML project,OneSecondDelivery,Data Science,Education,"Python, Machine Learning, Artificial Intelligence, AI, Deep Learning, Neural Networks, Engineer, E-Commerce, Python, TensorFlow, PyTorch, Machine Learning, Computer Vision, ML, Neural Networks","OneSecondDeliveryApply now👀 11,757 views✅ 1,487 applied
																																								(13%)Share this job:Get arok.coshort linkOneSecondDelivery is hiring aRemote Machine learning engineer for large scale ML project**Promising drone-delivery startup is hiring a Dataset and Machine Learning Manager to work remotely. OneSec is working on a groundbreaking GPT-scale machine learning project to make autonomous delivery drones. In this job, you will build the Datasets and Neural Networks that fly our autonomous delivery drones. These drones will then deliver millions of meals and other packages in the real world.**\n\n##About OneSecondDelivery\nWe are creating a food delivery app that uses autonomous drones to deliver the food. We deliver everything 5 times faster and 100 times cheaper, thanks to small autonomous delivery-robots. The company was founded in 2017 by a leading expert on drone legislation and a successful e-commerce entrepreneur. The Swiss Federal Institute of Technolo",2025-08-22,Remote,RemoteOK,https://remoteok.com/remote-jobs/106921-remote-machine-learning-engineer-for-large-scale-ml-project-oneseconddelivery,data-science
Data Scientist,Ampcontrol,Data Science,Education,"Math, Machine Learning, Artificial Intelligence, AI, Deep Learning, Neural Networks, English, Mathematics, Python, Data Science, AI, Pandas, NumPy","Ampcontrolampcontrol.ioApply now👀 12,979 views✅ 1,481 applied
																																								(11%)Share this job:Get arok.coshort linkAmpcontrol is hiring aRemote Data Scientist## 🚀About [Ampcontrol](https://www.ampcontrol.io/)\n\nWe're Ampcontrol, building AI-powered software for electric vehicle (EV) charging.\n\nWe are a venture backed remote team of engineers and energy experts based in Europe and the U.S building the new way of EV charging.  Our primary goals are to enable companies to provide higher capacity charging on existing infrastructure as well as optimization of fleet charging logistics.\n\n([link to website](https://www.ampcontrol.io/))\n\n## 🌎 Our Mission\n\nWe're on a mission to help the automotive industry transition to 100% electric vehicles.\n\nWe believe in a future of self-managing, reliable, and affordable charging for companies, fleet operators, and humans on our planet.\n\n## 💻 The Role\n\n- You'll be responsible for building, maintaining and improving",2025-08-22,Remote,RemoteOK,https://remoteok.com/remote-jobs/103561-remote-data-scientist-ampcontrol,data-science
Staff Data Scientist,Shopify,Data Science,Education,"Python, Big Data, Executive, Shopify, Python, Machine Learning, Data Science, Spark, Tableau, Matplotlib, Spark","Shopifyshopify.comApply now👀 6,356 views✅ 289 applied
																																								(5%)Share this job:Get arok.coshort linkAlso hiring:Staff Software DeveloperStaff Software Developer Data PlatformSenior Staff Software EngineerSenior Data ScientistSenior Software Engineer AmericasShopify is hiring aRemote Staff Data Scientist**Company Description**\n\nData is a crucial part of Shopify’s mission to make commerce better for everyone. We organize and interpret petabytes of data to provide solutions for our merchants and stakeholders across the organization. From pipelines and schema design to machine learning products and decision support, data science at Shopify is a diverse role with many opportunities to positively impact our success.\nOur Data Scientists focus on pushing products and the business forward, with a focus on solving important problems rather than specific tools. We are looking for talented data scientists to help us better understand our merchants and buyers so",2025-08-22,🇨🇦 Canada,RemoteOK,https://remoteok.com/remote-jobs/103485-remote-staff-data-scientist-shopify,data-science
Senior Data Scientist,Shopify,Data Science,Finance,"Amazon, Python, Microsoft, Machine Learning, Artificial Intelligence, AI, Deep Learning, Neural Networks, Senior, Big Data, Web Developer, Marketing, Engineering, Shopify, Non Tech, Python, SQL, Machine Learning, Data Science","Shopifyshopify.comApply now👀 7,006 views✅ 299 applied
																																								(4%)Share this job:Get arok.coshort linkAlso hiring:Staff Software DeveloperStaff Software Developer Data PlatformSenior Staff Software EngineerStaff Data ScientistSenior Software Engineer AmericasShopify is hiring aRemote Senior Data Scientist**Company Description**\n\nShopify is now permanently remote and working towards a future that is digital by default. Learn more about what this can mean for you.\n\nAt Shopify, we build products that help entrepreneurs around the world start and grow their business. We’re the world’s fastest growing commerce platform with over 1 million merchants in more than 175 different countries, with solutions from point-of-sale and online commerce to financial, shipping logistics and marketing.\n\n**Job Description**\n\nData is a crucial part of Shopify’s mission to make commerce better for everyone. We organize and interpret petabytes of data to provide solutions",2025-08-22,🇺🇸 United States,RemoteOK,https://remoteok.com/remote-jobs/103484-remote-senior-data-scientist-shopify,data-science
Senior Data Scientist,NannyML,Data Science,Healthcare,"Machine Learning, Artificial Intelligence, AI, Deep Learning, Neural Networks, Senior, English, Python, Travel, Engineering, Non Tech, Python, Machine Learning, ML, AI","NannyMLnannyml.comApply now👀 4,715 views✅ 371 applied
																																								(8%)Share this job:Get arok.coshort linkNannyML is hiring aRemote Senior Data Scientist# About the Role\n\nWe are looking for a Senior Data Scientist to help us prototype and implement AI monitoring systems. You will work along with a team of experienced Data Scientists, Data Engineers and Software Engineers. You will be responsible for implementing AI monitoring algorithms. As we grow NannyML, we expect you to grow with us. We envision your path may grow from your position into ML Engineering Team Lead. You will get meaningfully involved in the areas of product, engineering, hiring and people management among others.\n\n## Responsibilities\n\n* Research, prototype and implement Drift Detection algorithms, time-series anomaly detection, and other ML monitoring algorithms.\n* Tackle new research and ML problems and implement efficient and effective solutions.\n* Take part in customer meetings a",2025-08-22,Remote,RemoteOK,https://remoteok.com/remote-jobs/103333-remote-senior-data-scientist-nannyml,data-science
Technical Community Manager,Iterative,Data Science,Healthcare,"Git, Machine Learning, Artificial Intelligence, AI, Deep Learning, Neural Networks, Social Media, Executive, English, Lead, Content, Health, Blogging, Machine Learning, Data Science, Git","Iterativeiterative.aiApply now👀 18,713 views✅ 388 applied
																																								(2%)Share this job:Get arok.coshort linkIterative is hiring aRemote Technical Community ManagerWe’re a company that makes open source tools for data science and machine learning. You might know us from popular tools like [DVC](https://dvc.org) (Data Version Control) and [CML](https://cml.dev) (Continuous Machine Learning), or our [YouTube channel](https://www.youtube.com/channel/UC37rp97Go-xIX3aNFVHhXfQ?). Our team is small, remote-first, and passionate about creating best practices for managing the complexities of data science.\n\nWe’re seeking a **Technical Community Manager** to help us sustain and grow our active, worldwide community! \n\n## Job description\nAs an open source project, our community is everything. Our code, docs and outreach activities are fueled by community contributions, and user feedback is a huge driver for our product development. We invest heavily in building rel",2025-08-22,Remote,RemoteOK,https://remoteok.com/remote-jobs/99931-remote-technical-community-manager-iterative,data-science
