Job Title,Company Name,AI Category,Sector,Skills Mentioned,Job Description,Date Posted,Location,Source Website,Link to Job Post
Job 23428 Senior Developer GenAI,CI&T,DevOps,Technology & Software,,N/A,2025-08-19,🇧🇷 Brazil,RemoteOK,https://remoteok.com/remote-jobs/remote-job-23428-senior-developer-genai-ciampt-1093855
Senior Cloud Services Software Engineer,2100 NVIDIA USA,DevOps,Technology & Software,,N/A,2025-08-18,🇺🇸 United States,RemoteOK,https://remoteok.com/remote-jobs/remote-senior-cloud-services-software-engineer-2100-nvidia-usa-1093838
Automation Engineer UI Quality Assurance,Machinify,DevOps,Other AI,,N/A,2025-08-10,Palo Alto,RemoteOK,https://remoteok.com/remote-jobs/remote-automation-engineer-ui-quality-assurance-machinify-1093789
Software engineer,Sticker Mule,DevOps,Technology & Software,,N/A,2025-07-28,Remote,RemoteOK,https://remoteok.com/remote-jobs/remote-software-engineer-sticker-mule-1093738
Senior Software Engineer Backend,Allocate,DevOps,Technology & Software,,N/A,2025-07-25,🇺🇸 United States,RemoteOK,https://remoteok.com/remote-jobs/remote-senior-software-engineer-backend-allocate-1093713
Senior DevOps Engineer,Prompt,DevOps,Other AI,,N/A,2025-08-22,💰 $65k - $135k*,RemoteOK,https://remoteok.com/remote-jobs/remote-senior-devops-engineer-prompt-1093626
Senior Software Engineer Full Stack,Pano AI,DevOps,Technology & Software,,N/A,2025-08-22,🇺🇸 United States,RemoteOK,https://remoteok.com/remote-jobs/remote-senior-software-engineer-full-stack-pano-ai-1093481
Manager Engineering II Data Pipelines,Ironclad,DevOps,Technology & Software,,N/A,2025-08-22,San Francisco,RemoteOK,https://remoteok.com/remote-jobs/remote-manager-engineering-ii-data-pipelines-ironclad-1093192
Senior Software Engineer Full Stack,Cyngn,DevOps,Technology & Software,,N/A,2025-08-22,"Menlo Park, CA",RemoteOK,https://remoteok.com/remote-jobs/remote-senior-software-engineer-full-stack-cyngn-1093069
React + Node Developer Web Applications,Oowlish Technology,DevOps,Technology & Software,,N/A,2025-08-22,💰 $60k - $83k*,RemoteOK,https://remoteok.com/remote-jobs/remote-react-node-developer-web-applications-oowlish-technology-1093058
DevOps Engineer,ScaleTech,DevOps,Other AI,,N/A,2025-08-22,💰 $65k - $85k*,RemoteOK,https://remoteok.com/remote-jobs/remote-devops-engineer-scaletech-1092992
Kubernetes Engineer,"00100 LEIDOS, INC.",DevOps,Other AI,,N/A,2025-08-22,6314 Remote/Teleworker US,RemoteOK,https://remoteok.com/remote-jobs/remote-kubernetes-engineer-00100-leidos-inc-1092953
Senior Full Stack Software Engineer,CleanSpark,DevOps,Technology & Software,,N/A,2025-08-22,💰 $40k - $80k*,RemoteOK,https://remoteok.com/remote-jobs/remote-senior-full-stack-software-engineer-cleanspark-1092914
Software Development Engineer I,Mindtickle,DevOps,Technology & Software,,N/A,2025-08-22,Pune or Bangalore,RemoteOK,https://remoteok.com/remote-jobs/remote-software-development-engineer-i-mindtickle-1092645
Senior DevOps Engineer,CoW DAO,DevOps,Other AI,,N/A,2025-08-22,💰 $60k - $80k*,RemoteOK,https://remoteok.com/remote-jobs/remote-senior-devops-engineer-cow-dao-1091414
Senior DevOps Engineer,Prompt,DevOps,Other AI,,N/A,2025-08-22,💰 $60k - $80k*,RemoteOK,https://remoteok.com/remote-jobs/remote-senior-devops-engineer-prompt-1089644
Front End Developer 1 year contract,Smile Digital Health,DevOps,Technology & Software,,N/A,2025-08-22,💰 $40k - $58k*,RemoteOK,https://remoteok.com/remote-jobs/remote-front-end-developer-1-year-contract-smile-digital-health-1089636
Staff Developer,Rocket Communications,DevOps,Technology & Software,,N/A,2025-08-22,💰 $40k - $70k*,RemoteOK,https://remoteok.com/remote-jobs/remote-staff-developer-rocket-communications-1088673
Data Platform Engineer,Apollo,DevOps,Technology & Software,,N/A,2025-08-22,🇺🇸 United States,RemoteOK,https://remoteok.com/remote-jobs/remote-data-platform-engineer-apollo-1087402
Lead Developer Academic Preservation Trust,University of Virginia,DevOps,Education,,N/A,2025-08-22,💰 $40k - $70k*,RemoteOK,https://remoteok.com/remote-jobs/remote-lead-developer-academic-preservation-trust-university-of-virginia-1086667
