Job Title,Company Name,AI Category,Sector,Skills Mentioned,Job Description,Date Posted,Location,Source Website,Link to Job Post,Keyword
Support Reliability Specialist,6sense,Data Science,Healthcare,"Grafana, System, Technical, Support, Software, Web, Marketing, Sales, Reliability, Engineering, SQL, Automation, AI, Hadoop, Kubernetes, Docker, Linux, Hadoop","6sense is hiring aRemote Support Reliability Specialist\n6sense helps B2B marketing and sales organizations fully understand the complex ABM buyer journey. By combining intent signals from every channel with the industry’s most advanced AI predictive capabilities, it is finally possible to predict account demand and optimize demand generation in an ABM world. Equipped with the power of AI and the 6sense Demand PlatformTM, marketing, and sales professionals can uncover, accelerate, and capture buyer demand to drive more revenue.\n\nReliability Support Specialists at 6sense are instrumental figures of our Reliability team and work with Engineering teams to help diagnose and fix issues to ensure our services and infrastructure are fast, stable, and scalable. The Reliability team focuses on the automation, integration, operation, and overall improvement of our monitoring, logging, and alerting services to ensure we can deliver product quickly, safely, and reliably.\n\n\n\n\n\nResponsibilit",2025-08-22,🇮🇳 India,RemoteOK,https://remoteok.com/remote-jobs/remote-support-reliability-specialist-6sense-1001493,hadoop
Sr Solutions Presales Engineer NY NJ,BigID,Data Science,Healthcare,"Security, Consulting, Consult, Technical, Cloud, Management, Legal, Sales, Engineer, Engineering, Linux, SQL, AWS, Azure, Hadoop, Kubernetes, Docker, Linux, Hadoop","BigID is hiring aRemote Sr Solutions Presales Engineer NY NJ\nWho we seek:\n\nWe are expanding our Solutions Engineering team. We're always looking for top Engineers to join our winning team. This team works closely with innovative companies interested in leveraging BigID’s platform. You will use your knowledge to influence customer decisions, provide insightful solutions, and drive successful proof-of-value implementations. With your potent technical capabilities, critical and creative thinking, and passion for fast-paced problem-solving, be ready to hit the ground running.\n\nThis person must be local to the NY/NJ area and will require up to 50% travel.\n\nWhat you’ll do:\n\n\nWork with the Sales team as the technical subject matter expert for BigID’s platform during customer calls and presentations\n\nUse market and technical knowledge to consult on best practices, and offer constructive direction for solution architecture and design\n\nStay up-to-date on relevant competitive soluti",2025-08-22,🇺🇸 United States,RemoteOK,https://remoteok.com/remote-jobs/remote-sr-solutions-presales-engineer-ny-nj-bigid-954309,hadoop
Sr Service Delivery Engineer,BigID,Data Science,Healthcare,"System, Training, Docker, Technical, Java, Cloud, Microsoft, Management, Senior, Operational, Go, Engineer, Engineering, Python, SQL, AWS, Azure, Big Data, Hadoop, Spark, Kubernetes, Docker, Java, Spark, Hadoop","BigID is hiring aRemote Sr Service Delivery Engineer\nWho we seek:\n\nBigID is growing quickly, and we are expanding our Services team and seeking a Senior Professional Services Engineer. The services team plays an important role in the successful setup, integration and deployment of BigID's discovery tools, for our customers and implementation partners. This position also works to identify the root cause of any deployment issues and works with the larger team to help resolve them to ensure the success of the customer.\n\nWhat you’ll do:\n\n\nWork closely with client stakeholders to determine technical requirements for specific business objectives at hand\n\nPlan implementation engagements, deploy solution components, and participate in the product configuration efforts in order to meet clients’ specific requirements\n\nEngage with multi-discipline internal and client teams to ensure smooth rollout of BigID solutions and successful integration within customers’ environments\n\nDeliver ",2025-08-22,🇮🇳 India,RemoteOK,https://remoteok.com/remote-jobs/remote-sr-service-delivery-engineer-bigid-718150,hadoop
Service Delivery Engineer,BigID,Data Science,Healthcare,"System, Training, Docker, Technical, Java, Cloud, Microsoft, Management, Operational, Legal, Engineer, Engineering, Python, SQL, AWS, Azure, Big Data, Hadoop, Spark, Kubernetes, Docker, Java, Spark, Hadoop","BigID is hiring aRemote Service Delivery Engineer\nWho we seek:\n\nBigID is growing, and we are expanding our Services Team and seeking a Service Delivery Engineer. The services team plays an important role in the successful setup, integration, and deployment of BigID's discovery tools, for our customers and implementation partners. This position also works to identify the root cause of any deployment issues and works with the larger team to help resolve them to ensure the success of the customer.\n\nWhat you’ll do:\n\n\n* Work closely with client stakeholders to determine technical requirements for specific business objectives at hand\n\n* Plan implementation engagements, deploy solution components, and participate in the product configuration efforts to meet clients’ specific requirements\n\n* Engage with multi-discipline internal and client teams to ensure smooth rollout of BigID solutions and successful integration within customers’ environments\n\n* Deliver training for respective",2025-08-22,🇺🇸 United States,RemoteOK,https://remoteok.com/remote-jobs/remote-service-delivery-engineer-bigid-687160,hadoop
Data Engineer,Kyivstar,Data Science,Healthcare,"Design, Technical, Software, Testing, Test, DevOps, Java, Git, Scala, API, Mobile, Analytics, Engineer, Engineering, Python, AWS, Hadoop, Spark, Kubernetes, Docker, Java, Git, Linux, Airflow, Spark, Hadoop, Kafka","KyivstarApply now👀 1,414 views✅ 108 applied
																																								(8%)Share this job:Get arok.coshort linkKyivstar is hiring aRemote Data Engineer\nKyivstar.Tech is looking for a Data Engineer (AWS Developer) to manage various life cycles of large systems. The Data Lifecycle Engineer will have the ability to help customers realize their full potential by accelerating the adoption and productive use of AWS technologies\n\n\nRequirements:\n·        3+ years of technical expertise in Database development, designing and building database solutions (tables / stored procedures / forms / queries / etc.)\n·        Business intelligence knowledge with a deep understanding of data structure / data models to design and tune BI solutions\n·        3+ years experience AWS services like EC2, S3, Redshift/Spectrum, Glue, Athena, RDS, Lambda, and API gateway\n·        Familiar with software DevOps CI/CD tools, such Git, Jenkins, Linux, and Shell Script\n·        Understanding of Spar",2025-08-22,All,RemoteOK,https://remoteok.com/remote-jobs/remote-data-engineer-kyivstar-621455,hadoop
Big Data Engineer,Blue Coding,Data Science,Healthcare,"Design, SaaS, Music, Consulting, Software, Analyst, Elasticsearch, Java, Cloud, Mssql, Healthcare, Engineer, Linux, Python, Big Data, Hadoop, Spark, Java, Linux, Airflow, Spark, Hadoop, Kafka","Blue CodingApply now👀 2,055 views✅ 88 applied
																																								(4%)Share this job:Get arok.coshort linkBlue Coding is hiring aRemote Big Data Engineer\nDo you want to earn a salary in USD? \nWould you like to work from wherever you want?\nWould you like to be a part of the leading next-gen software developers? \n\n\nHi, you finally found us! \n\n\nWhy work at Blue Coding? \n\n\nAt Blue Coding we specialize in hiring excellent developers and amazing people from all over Latin America and other parts of the world. For the past 9 years, we’ve helped cutting-edge companies in the United States and Canada -both large and small, build great development teams and develop great products. Online shops, digital agencies, SaaS providers, and software consulting firms are a few of our clients. Our team of over 100 engineers is distributed in more than 10 countries across the Americas. We are a fully remote company working with a wide array of technologies and have expertise ",2025-08-22,💰 $50k - $90k*,RemoteOK,https://remoteok.com/remote-jobs/remote-big-data-engineer-blue-coding-603590,hadoop
Senior Data Scientist,Careers at Tide,Data Science,Healthcare,"Design, Training, Technical, Support, Software, Voice, Financial, Fintech, Banking, Cloud, Admin, Senior, Operations, Health, Python, TensorFlow, PyTorch, SQL, AWS, GCP, Azure, Scikit-learn, Machine Learning, ML, Neural Networks, Hadoop, Spark, Matplotlib, Seaborn, Spark, Hadoop","Careers at Tide is hiring aRemote Senior Data Scientist\n\n\nWho are Tide:\n\nAt Tide, we’re on a mission to save businesses time and money. We’re the leading provider of UK SME business accounts and one of the fastest-growing FinTechs in the UK. Using the latest tech, we design solutions with SMEs in mind and our member-driven financial platform is  transforming the business banking market. Not only do we offer our members business accounts and related banking services, but also a comprehensive set of highly connected admin tools for businesses. \n\nTide is about doing what you love. We’re looking for someone to join us on our exciting scale up journey and be a part of something special. We are wanting passionate Tideans to drive innovation and help build a best-in-class platform to support our members. You will be comfortable in ambiguous situations and will be able to navigate the evolving FinTech environment. Imagine shaping how millions of Tide members discover and engage with bus",2025-08-22,🇮🇳 India,RemoteOK,https://remoteok.com/remote-jobs/remote-senior-data-scientist-careers-at-tide-474192,hadoop
Lead Data Scientist,Careers at Tide,Data Science,Healthcare,"Design, Training, Technical, Support, Software, Voice, Financial, Fintech, Banking, Cloud, Admin, Lead, Junior, Operations, Health, Python, TensorFlow, PyTorch, SQL, AWS, Scikit-learn, Machine Learning, Data Science, ML, Neural Networks, Hadoop, Spark, Spark, Hadoop","Careers at Tide is hiring aRemote Lead Data Scientist\nDepartment: Data Science\n\nWho are Tide:\n\nAt Tide, we’re on a mission to save businesses time and money. We’re the leading provider of UK SME business accounts and one of the fastest-growing FinTechs in the UK. Using the latest tech, we design solutions with SMEs in mind and our member-driven financial platform is  transforming the business banking market. Not only do we offer our members business accounts and related banking services, but also a comprehensive set of highly connected admin tools for businesses. \n\nTide is about doing what you love. We’re looking for someone to join us on our exciting scale up journey and be a part of something special. We are wanting passionate Tideans to drive innovation and help build a best-in-class platform to support our members. You will be comfortable in ambiguous situations and will be able to navigate the evolving FinTech environment. Imagine shaping how millions of Tide members discov",2025-08-22,🇮🇳 India,RemoteOK,https://remoteok.com/remote-jobs/remote-lead-data-scientist-careers-at-tide-474181,hadoop
Lead Data Scientist,Careers at Tide,Data Science,Healthcare,"Design, Training, Technical, Support, Software, Voice, Financial, Fintech, Banking, Cloud, Admin, Lead, Junior, Operations, Health, Python, TensorFlow, PyTorch, SQL, AWS, Scikit-learn, Machine Learning, Data Science, ML, Neural Networks, Hadoop, Spark, Spark, Hadoop","Careers at Tide is hiring aRemote Lead Data Scientist\nDepartment: Data Science\n\nWho are Tide:\n\nAt Tide, we’re on a mission to save businesses time and money. We’re the leading provider of UK SME business accounts and one of the fastest-growing FinTechs in the UK. Using the latest tech, we design solutions with SMEs in mind and our member-driven financial platform is  transforming the business banking market. Not only do we offer our members business accounts and related banking services, but also a comprehensive set of highly connected admin tools for businesses. \n\nTide is about doing what you love. We’re looking for someone to join us on our exciting scale up journey and be a part of something special. We are wanting passionate Tideans to drive innovation and help build a best-in-class platform to support our members. You will be comfortable in ambiguous situations and will be able to navigate the evolving FinTech environment. Imagine shaping how millions of Tide members discov",2025-08-22,🇮🇳 India,RemoteOK,https://remoteok.com/remote-jobs/remote-lead-data-scientist-careers-at-tide-474175,hadoop
Senior Data Scientist,Careers at Tide,Data Science,Healthcare,"Design, Training, Technical, Support, Software, Voice, Financial, Fintech, Banking, Cloud, Admin, Senior, Operations, Health, Python, TensorFlow, PyTorch, SQL, AWS, GCP, Azure, Scikit-learn, Machine Learning, ML, Neural Networks, Hadoop, Spark, Matplotlib, Seaborn, Spark, Hadoop","Careers at Tide is hiring aRemote Senior Data Scientist\n\n\nWho are Tide:\n\nAt Tide, we’re on a mission to save businesses time and money. We’re the leading provider of UK SME business accounts and one of the fastest-growing FinTechs in the UK. Using the latest tech, we design solutions with SMEs in mind and our member-driven financial platform is  transforming the business banking market. Not only do we offer our members business accounts and related banking services, but also a comprehensive set of highly connected admin tools for businesses. \n\nTide is about doing what you love. We’re looking for someone to join us on our exciting scale up journey and be a part of something special. We are wanting passionate Tideans to drive innovation and help build a best-in-class platform to support our members. You will be comfortable in ambiguous situations and will be able to navigate the evolving FinTech environment. Imagine shaping how millions of Tide members discover and engage with bus",2025-08-22,🇮🇳 India,RemoteOK,https://remoteok.com/remote-jobs/remote-senior-data-scientist-careers-at-tide-474174,hadoop
